REF_AREA,FREQ,MEASURE,UNIT_MEASURE,ADJUSTMENT,POLLUTANT,METHODOLOGY,SOURCE,VESSEL,VESSEL_EMISSIONS_SOURCE,TIME_PERIOD,CO2_Emissions,Group
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-04,70219,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-05,84871,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-06,78090,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-07,79588,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-08,73567,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-09,74506,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-10,68470,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-11,61556,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2021-12,86359,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-01,113334,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-02,81984,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-03,84233,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-04,91075,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-05,95638,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-06,101768,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-07,104084,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-08,87285,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-09,89552,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-10,99449,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-11,75865,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2022-12,75992,OECD Country
OECD,Monthly,Emissions,Tonnes,Neither seasonally adjusted nor calendar adjusted,Carbon dioxide,Port of departure,Estimated by OECD,Refrigerated bulk,Domestic voyages,2023-01,107827,OECD Country
