year,Sea_Level_mm,Region
2019,-0.1440540540540453,Pacific Ocean
2019,1.185945945945953,Pacific Ocean
2019,-3.08405405405405,Pacific Ocean
2019,0.6559459459459518,Pacific Ocean
2019,0.6059459459459546,Pacific Ocean
2019,-0.7640540540540499,Pacific Ocean
2019,1.1059459459459546,Pacific Ocean
2019,4.105945945945955,Pacific Ocean
2019,0.465945945945954,Pacific Ocean
2019,1.6459459459459538,Pacific Ocean
2019,-2.6240540540540493,Pacific Ocean
2019,1.185945945945953,Pacific Ocean
2019,0.3859459459459557,Pacific Ocean
2019,-0.5340540540540459,Pacific Ocean
2019,-3.814054054054047,Pacific Ocean
2019,-10.33405405405405,Pacific Ocean
2019,2.105945945945954,Pacific Ocean
2019,3.815945945945949,Pacific Ocean
2019,6.005945945945946,Pacific Ocean
2019,1.0259459459459492,Pacific Ocean
2019,-3.674054054054048,Pacific Ocean
2019,-0.8540540540540462,Pacific Ocean
2019,4.245945945945955,Pacific Ocean
2019,7.475945945945959,Pacific Ocean
2019,8.175945945945948,Pacific Ocean
2019,9.385945945945956,Pacific Ocean
2019,-0.5740540540540451,Pacific Ocean
2019,-4.984054054054049,Pacific Ocean
2019,-4.754054054054045,Pacific Ocean
2019,-5.604054054054046,Pacific Ocean
2019,-8.064054054054047,Pacific Ocean
2019,-2.6740540540540465,Pacific Ocean
2019,-3.684054054054045,Pacific Ocean
2019,-2.324054054054045,Pacific Ocean
2019,2.745945945945955,Pacific Ocean
2019,0.6859459459459529,Pacific Ocean
2019,1.475945945945952,Pacific Ocean
2020,0.3759459459459506,Pacific Ocean
2020,-8.90405405405405,Pacific Ocean
2020,-4.604054054054046,Pacific Ocean
2020,6.995945945945955,Pacific Ocean
2020,1.8659459459459529,Pacific Ocean
2020,-2.274054054054048,Pacific Ocean
2020,-3.1840540540540445,Pacific Ocean
2020,-4.1640540540540485,Pacific Ocean
2020,-1.6140540540540442,Pacific Ocean
2020,-0.1340540540540473,Pacific Ocean
2020,0.3659459459459526,Pacific Ocean
2020,-2.034054054054046,Pacific Ocean
2020,7.845945945945949,Pacific Ocean
2020,15.995945945945955,Pacific Ocean
2020,13.995945945945955,Pacific Ocean
2020,6.655945945945952,Pacific Ocean
2020,-2.104054054054046,Pacific Ocean
2020,-2.454054054054048,Pacific Ocean
2020,-0.3740540540540493,Pacific Ocean
2020,2.145945945945954,Pacific Ocean
2020,0.7459459459459552,Pacific Ocean
2020,-7.4240540540540465,Pacific Ocean
2020,-4.4040540540540505,Pacific Ocean
2020,-2.054054054054049,Pacific Ocean
2020,0.6759459459459549,Pacific Ocean
2020,3.8259459459459535,Pacific Ocean
2020,5.905945945945952,Pacific Ocean
2020,2.3359459459459515,Pacific Ocean
2020,-0.4940540540540468,Pacific Ocean
2020,1.7459459459459552,Pacific Ocean
2020,1.7759459459459492,Pacific Ocean
2020,-0.7340540540540488,Pacific Ocean
2020,-7.124054054054049,Pacific Ocean
2020,2.0359459459459543,Pacific Ocean
2020,4.3059459459459575,Pacific Ocean
2020,-6.1640540540540485,Pacific Ocean
2020,-4.6840540540540445,Pacific Ocean
2021,1.4059459459459518,Pacific Ocean
2021,1.6459459459459538,Pacific Ocean
2021,1.905945945945952,Pacific Ocean
2021,2.135945945945956,Pacific Ocean
2021,1.705945945945949,Pacific Ocean
2021,-2.094054054054048,Pacific Ocean
2021,-1.4140540540540485,Pacific Ocean
2021,-3.9740540540540494,Pacific Ocean
2021,-3.364054054054044,Pacific Ocean
2021,-2.324054054054045,Pacific Ocean
2021,-0.9240540540540464,Pacific Ocean
2021,2.5659459459459484,Pacific Ocean
2021,-0.8640540540540442,Pacific Ocean
2021,6.205945945945949,Pacific Ocean
2021,10.275945945945956,Pacific Ocean
2021,7.855945945945955,Pacific Ocean
2021,4.715945945945954,Pacific Ocean
2021,-0.3640540540540442,Pacific Ocean
2021,-1.6140540540540442,Pacific Ocean
2021,1.6359459459459558,Pacific Ocean
2021,12.12594594594595,Pacific Ocean
2021,16.825945945945953,Pacific Ocean
2021,7.935945945945953,Pacific Ocean
2021,9.495945945945955,Pacific Ocean
2021,6.925945945945948,Pacific Ocean
2021,8.655945945945952,Pacific Ocean
2021,4.035945945945947,Pacific Ocean
2021,2.98594594594595,Pacific Ocean
2021,0.4459459459459509,Pacific Ocean
2021,-0.544054054054051,Pacific Ocean
2021,6.265945945945951,Pacific Ocean
2021,14.155945945945952,Pacific Ocean
2021,8.505945945945946,Pacific Ocean
2021,11.415945945945955,Pacific Ocean
2021,13.305945945945956,Pacific Ocean
2021,6.525945945945956,Pacific Ocean
2021,3.115945945945945,Pacific Ocean
2021,8.59594594594595,Pacific Ocean
2021,12.075945945945952,Pacific Ocean
2021,10.785945945945947,Pacific Ocean
2021,6.205945945945949,Pacific Ocean
2021,5.145945945945947,Pacific Ocean
2021,2.965945945945954,Pacific Ocean
2021,2.665945945945957,Pacific Ocean
2021,6.385945945945956,Pacific Ocean
2021,6.025945945945956,Pacific Ocean
2021,6.045945945945952,Pacific Ocean
2021,-1.6340540540540474,Pacific Ocean
2021,0.4059459459459518,Pacific Ocean
2021,7.505945945945946,Pacific Ocean
2021,5.185945945945953,Pacific Ocean
2021,1.6259459459459509,Pacific Ocean
2022,-1.1940540540540496,Pacific Ocean
2022,2.525945945945949,Pacific Ocean
2022,7.495945945945955,Pacific Ocean
2022,6.605945945945955,Pacific Ocean
2022,1.695945945945951,Pacific Ocean
2022,2.6459459459459467,Pacific Ocean
2022,12.08594594594596,Pacific Ocean
2022,11.815945945945948,Pacific Ocean
