Year,Month,GMSL_Variation_mm,StdDev_mm
2019,1,0.0,5.0
2019,2,0.3685792042042042,5.0
2019,3,0.7371584084084084,5.0
2019,4,1.1057376126126126,5.0
2019,5,1.4743168168168168,5.0
2019,6,1.842896021021021,5.0
2019,7,2.211475225225225,5.0
2019,8,2.5800544294294294,5.0
2019,9,2.9486336336336336,5.0
2019,10,3.317212837837838,5.0
2019,11,3.685792042042042,5.0
2019,12,4.054371246246246,5.0
2020,1,10.841505791505792,5.0
2020,2,11.744964607464608,5.0
2020,3,12.648423423423424,5.0
2020,4,13.55188223938224,5.0
2020,5,14.455341055341057,5.0
2020,6,15.358799871299873,5.0
2020,7,16.262258687258687,5.0
2020,8,17.165717503217504,5.0
2020,9,18.06917631917632,5.0
2020,10,18.97263513513513,5.0
2020,11,19.87609395109396,5.0
2020,12,20.77955276705277,5.0
2021,1,21.73534904250985,5.0
2021,2,22.643169313426853,5.0
2021,3,23.55098958434386,5.0
2021,4,24.458809855260863,5.0
2021,5,25.366630126177867,5.0
2021,6,26.27445039709488,5.0
2021,7,27.18227066801188,5.0
2021,8,28.09009093892888,5.0
2021,9,28.99791120984589,5.0
2021,10,29.90573148076289,5.0
2021,11,30.813551751679896,5.0
2021,12,31.721372022596903,5.0
2022,1,26.6033990594368,5.0
2022,2,27.00906989418071,5.0
2022,3,27.41474072892462,5.0
2022,4,27.82041156366853,5.0
2022,5,28.226082398412444,5.0
2022,6,28.63175323315636,5.0
2022,7,29.037424067900268,5.0
2022,8,29.443094902644184,5.0
2022,9,29.848765737388096,5.0
2022,10,30.254436572132008,5.0
2022,11,30.66010740687592,5.0
2022,12,31.06577824161983,5.0
2023,1,19.94098455598456,5.0
2023,2,19.38578334736353,5.0
2023,3,18.83058213874252,5.0
2023,4,18.275380930121496,5.0
2023,5,17.720179721500475,5.0
2023,6,17.164978512879458,5.0
2023,7,16.609777304258436,5.0
2023,8,16.054576095637415,5.0
2023,9,15.499374887016398,5.0
2023,10,14.944173678395376,5.0
2023,11,14.388972469774355,5.0
2023,12,13.833771261153338,5.0
